CÓLERA,A00
DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] RESULTANDO EM OUTRAS DOENÇAS ESPECIFICADAS,B22
DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] RESULTANDO EM OUTRAS DOENÇAS,B23
DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] NÃO ESPECIFICADA,B24
DOENÇA POR CITOMEGALOVÍRUS,B25
CAXUMBA [PAROTIDITE EPIDÊMICA],B26
MONONUCLEOSE INFECCIOSA,B27
CONJUNTIVITE VIRAL,B30
OUTRAS DOENÇAS POR VÍRUS NÃO CLASSIFICADA EM OUTRA PARTE,B33
"DOENÇAS POR VÍRUS, DE LOCALIZAÇÃO NÃO ESPECIFICADA",B34
DERMATOFITOSE,B35
OUTRAS MICOSES SUPERFICIAIS,B36
CANDIDÍASE,B37
COCCIDIOIDOMICOSE,B38
HISTOPLASMOSE,B39
BLASTOMICOSE,B40
PARACOCCIDIOIDOMICOSE,B41
ESPOROTRICOSE,B42
CROMOMICOSE E ABSCESSO FEOMICÓTICO,B43
ASPERGILOSE,B44
CRIPTOCOCOSE,B45
ZIGOMICOSE,B46
MICETOMA,B47
"OUTRAS MICOSES, NÃO CLASSIFICADAS EM OUTRA PARTE",B48
MICOSE NÃO ESPECIFICADA,B49
MALÁRIA POR PLASMODIUM FALCIPARUM,B50
MALÁRIA POR PLASMODIUM VIVAX,B51
MALÁRIA POR PLASMODIUM MALARIAE,B52
OUTRAS FORMAS DE MALÁRIA CONFIRMADAS POR EXAMES PARASITOLÓGICOS,B53
MALÁRIA NÃO ESPECIFICADA,B54
LEISHMANIOSE,B55
TRIPANOSSOMÍASE AFRICANA,B56
DOENÇA DE CHAGAS,B57
TOXOPLASMOSE,B58
PNEUMOCISTOSE,B59
"OUTRAS DOENÇAS DEVIDAS A PROTOZOÁRIOS, NÃO CLASSIFICADAS EM OUTRA PARTE",B60
